raise, 153.485348961108151305274374
tears, 148.15130527437400106553010123
rates, 132.46457112413425679275439531
tales, 135.53294263896288403480731664
tries, 155.50985615343633457645178476
dates, 159.06979222163026105487480021
races, 154.88261410051500621559225715
tires, 154.38820813354643935357840526
stare, 157.84230154501864677677144379
roles, 140.44183981530811578760433316
cares, 151.64659918309358906055762742
lanes, 144.40632214526727046705736104
rites, 159.75492807671816728822589238
laser, 152.17794352690463505594033031
dares, 153.33759545373823477179896999
nears, 154.96004262120404901438465637
saner, 138.41484638607707334398863435
earls, 149.48215237080447522642514651
dales, 158.95116320369383768424791334
lores, 140.13603267625643757769490321
pares, 155.92150594920973184159119162
teals, 154.10442194992008524240809803
aloes, 132.91919730065707689575563843
tares, 129.47220742319303853667199432
reals, 139.91759900550523885633102468
rapes, 159.71372757947078671639140472
riles, 147.68602379683892736636476647
stoae, 155.84301189841946368318238324
slier, 154.76469543597939975137630971
nates, 152.87728645000887941751021133
nares, 136.16799857929319836618717812
raise, 153.485348961108151305274374
tears, 148.15130527437400106553010123
rates, 132.46457112413425679275439531
tales, 135.53294263896288403480731664
tries, 155.50985615343633457645178476
dates, 159.06979222163026105487480021
races, 154.88261410051500621559225715
tires, 154.38820813354643935357840526
stare, 157.84230154501864677677144379
roles, 140.44183981530811578760433316
cares, 151.64659918309358906055762742
lanes, 144.40632214526727046705736104
rites, 159.75492807671816728822589238
laser, 152.17794352690463505594033031
dares, 153.33759545373823477179896999
nears, 154.96004262120404901438465637
saner, 138.41484638607707334398863435
earls, 149.48215237080447522642514651
dales, 158.95116320369383768424791334
lores, 140.13603267625643757769490321
pares, 155.92150594920973184159119162
teals, 154.10442194992008524240809803
aloes, 132.91919730065707689575563843
tares, 129.47220742319303853667199432
reals, 139.91759900550523885633102468
rapes, 159.71372757947078671639140472
riles, 147.68602379683892736636476647
stoae, 155.84301189841946368318238324
slier, 154.76469543597939975137630971
nates, 152.87728645000887941751021133
nares, 136.16799857929319836618717812
